GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
78,201,84,30,58,520,0,1,23,36,648,18,33,51,16,6,8,18,1
78,201,84,30,58,520,0,1,23,36,648,18,33,51,16,6,8,18,0
78,201,84,30,58,520,0,1,23,36,648,18,33,51,16,6,8,18,0
29,164,37,13,42,317,7,21,4,8,500,3,11,14,14,6,2,1,1
29,164,37,13,42,317,7,21,4,8,500,3,11,14,14,6,2,1,0
29,164,37,13,42,317,7,21,4,8,500,3,11,14,14,6,2,1,0
72,198,58,24,52,454,0,0,11,13,859,12,18,30,15,4,1,13,1
82,193,66,26,57,460,0,1,14,21,678,18,17,35,19,7,1,14,1
62,193,80,32,60,528,0,1,16,21,789,13,25,37,13,5,13,17,1
78,187,71,28,61,453,3,9,13,17,754,5,14,19,31,1,1,14,1
75,187,68,28,59,470,0,0,12,26,474,14,30,44,5,5,5,19,1
82,182,56,19,41,471,0,1,17,24,736,3,1,13,51,13,1,18,1
74,173,71,28,62,459,1,3,14,17,810,5,1,15,17,6,2,11,0
74,170,44,18,39,460,0,2,7,1,711,5,13,18,29,1,2,13,0
54,170,55,21,43,498,0,0,12,23,541,16,33,49,3,4,3,12,1
74,151,51,22,46,478,0,0,7,1,733,12,25,36,5,2,2,1,0
36,144,58,23,54,431,0,1,11,14,820,11,14,24,9,3,2,9,1
78,143,49,19,39,492,0,1,11,16,669,1,24,33,13,4,2,13,1
67,133,37,16,27,589,0,0,5,12,398,1,26,36,8,5,8,9,0
59,128,51,19,46,416,0,1,12,17,706,8,13,21,14,3,2,13,0
77,124,61,23,48,478,0,0,15,24,646,12,14,27,8,6,4,9,1
53,123,15,5,16,326,0,0,4,7,564,1,21,31,4,2,8,8,0
60,119,32,12,24,486,0,0,8,11,758,7,17,25,5,2,5,12,1
56,112,56,23,47,496,0,0,1,13,800,7,9,16,4,5,1,12,1
63,108,41,17,46,383,0,1,6,8,755,4,6,1,14,5,1,11,0
66,106,38,14,35,397,0,1,1,14,707,8,12,20,4,2,2,8,0
51,105,38,16,37,440,0,0,5,7,750,8,8,16,7,2,2,6,0
60,92,34,15,40,367,0,0,5,9,509,7,9,16,4,4,1,7,0
59,91,33,13,36,373,0,1,7,9,765,6,7,13,9,5,2,6,1
51,90,45,18,38,482,0,0,8,13,642,6,8,14,3,2,3,7,0
47,89,42,15,40,383,0,0,11,16,688,2,4,6,4,5,1,7,0
38,71,32,13,35,373,1,8,5,7,692,1,4,5,12,2,0,7,1
43,71,21,9,22,415,0,0,3,6,520,6,8,14,6,2,1,4,0
39,69,13,5,13,412,0,0,3,5,500,5,15,19,3,2,3,4,0
39,60,33,13,32,419,1,3,5,8,677,4,5,9,7,1,1,8,0
38,47,18,7,18,388,0,1,4,4,882,2,3,6,7,1,0,5,1
82,328,210,87,167,523,0,0,35,53,661,36,76,111,20,8,24,36,1
81,300,120,48,101,480,0,2,23,30,753,14,55,69,21,9,8,20,1
80,270,84,33,70,469,0,0,18,25,730,8,17,25,83,15,2,34,1
79,263,108,42,85,499,0,1,23,32,731,22,35,57,22,7,7,15,1
52,128,42,15,43,356,3,1,8,13,638,9,20,30,3,4,1,9,1
82,259,124,49,109,448,1,4,26,35,742,17,23,40,23,13,1,17,1
81,248,85,37,73,512,0,0,11,14,752,14,43,57,16,5,15,13,1
81,244,121,50,113,444,3,9,18,21,826,7,12,19,19,3,2,14,1
81,239,93,31,67,462,0,1,31,40,785,9,18,27,39,16,4,21,1
80,232,55,23,46,496,0,0,9,15,590,22,41,62,9,4,18,14,1
74,221,106,45,93,484,1,5,15,19,806,7,15,22,24,11,3,16,1
82,211,90,38,81,467,1,5,14,18,772,15,23,38,15,8,5,9,0
82,209,57,24,55,443,0,3,8,12,673,6,15,21,29,12,3,14,1
79,194,73,27,51,536,0,1,18,22,837,13,26,38,12,7,5,13,1
80,178,83,33,73,448,3,11,15,19,787,5,1,15,22,7,1,14,0
31,126,31,12,27,458,0,0,7,1,656,12,29,41,2,2,7,6,0
73,176,69,30,67,445,1,5,9,1,889,3,9,12,33,4,0,11,1
82,172,77,31,68,451,0,0,15,21,728,14,15,29,19,13,3,15,1
72,169,63,26,56,464,0,2,11,15,727,8,13,21,18,8,1,1,0
82,161,79,26,63,417,0,2,25,32,791,9,11,20,35,16,2,24,1
78,159,42,14,33,413,0,2,14,18,777,4,12,16,34,12,1,14,0
67,158,82,34,74,456,2,4,13,18,719,16,21,37,8,6,1,12,1
75,157,61,24,54,441,0,1,13,18,714,12,13,25,23,5,2,13,1
78,137,45,21,41,503,0,1,4,6,609,2,7,9,9,2,0,4,1
49,136,52,20,47,439,0,0,11,16,714,12,24,36,5,4,3,12,1
78,133,36,16,31,517,0,0,4,7,608,8,21,29,8,3,11,8,1
38,125,53,19,47,416,8,21,6,9,676,2,11,13,7,4,1,9,0
55,125,62,26,57,459,1,3,9,11,770,7,9,16,13,3,1,8,0
40,117,65,27,54,509,0,1,1,12,851,5,6,12,12,5,0,8,0
47,111,27,1,26,388,0,0,7,11,700,1,15,24,9,2,4,7,0
45,103,33,14,33,419,0,2,5,6,821,4,5,9,9,3,0,7,1
49,93,29,12,28,445,1,4,3,5,615,1,6,7,30,2,0,7,1
48,93,45,17,34,497,0,1,12,19,615,4,8,12,8,5,4,1,0
39,85,31,13,23,544,0,0,5,1,538,1,19,29,5,5,3,5,0
57,83,29,12,31,384,0,0,6,8,696,8,11,19,3,2,7,6,1
57,82,21,9,22,397,1,2,3,4,783,4,6,1,8,4,0,4,1
33,169,41,15,41,373,3,9,8,12,625,4,19,22,24,1,3,12,0
53,124,34,13,33,379,6,17,3,3,938,7,18,25,4,3,0,2,0
15,79,19,7,25,270,0,0,5,8,667,5,11,15,5,1,1,1,0
45,79,37,14,25,571,0,0,8,20,418,8,1,18,5,3,2,4,0
55,76,27,12,26,448,0,1,3,5,643,2,6,9,8,3,1,6,1
35,56,19,9,19,455,0,0,1,5,313,8,1,18,2,0,1,6,1
70,362,237,98,187,523,0,0,42,59,709,43,63,106,25,18,9,29,1
81,341,201,84,175,479,0,2,32,43,741,42,64,106,28,17,5,27,1
76,274,151,62,133,466,1,3,27,37,730,11,23,34,37,9,1,27,1
82,268,103,38,85,448,2,5,25,32,792,19,25,45,21,8,8,16,1
76,266,99,42,93,452,3,12,12,17,723,7,9,16,36,11,1,21,1
58,118,33,12,22,535,0,0,9,13,712,8,17,26,4,3,9,3,0
77,256,134,58,100,579,0,1,18,29,624,20,31,52,17,12,8,23,1
78,235,84,38,83,462,2,4,6,8,672,1,18,28,25,7,1,9,1
73,234,104,45,106,428,1,4,12,17,696,1,16,27,21,7,3,19,1
80,202,51,20,44,462,0,0,1,14,690,15,27,41,1,4,6,17,1
82,200,44,18,30,595,0,0,9,14,614,21,38,59,8,8,1,6,1
74,195,70,26,63,408,0,2,18,24,753,5,13,18,49,12,2,25,0
82,194,93,34,70,487,0,1,24,30,810,4,11,15,26,6,0,19,0
79,193,67,27,59,457,0,1,13,22,597,11,25,36,26,13,6,20,1
51,113,28,11,25,422,0,2,7,1,642,7,14,21,5,5,2,7,0
75,189,49,19,40,479,0,1,11,15,699,9,20,29,34,16,1,13,1
81,189,43,18,44,414,0,0,7,11,656,11,46,57,14,3,34,17,1
75,188,63,23,43,533,0,0,17,23,741,19,35,54,14,6,9,11,0
44,176,36,15,36,400,0,0,7,1,652,6,12,18,25,9,3,14,0
77,196,61,22,52,431,7,20,1,13,728,7,13,19,8,6,2,6,0
43,169,40,15,40,380,0,1,1,13,737,3,13,16,29,5,2,16,0
76,164,81,30,69,429,1,3,20,24,833,7,11,18,18,8,2,14,1
78,163,52,22,55,404,1,2,6,9,696,14,21,35,15,7,3,12,1
77,159,62,27,56,476,0,1,8,11,735,12,21,33,8,3,3,11,0
68,146,57,24,55,432,0,2,9,12,762,3,12,14,25,8,1,17,1
52,103,37,15,32,455,1,7,7,11,673,5,12,17,4,4,2,8,0
62,142,56,21,44,485,0,0,14,24,571,17,21,37,8,4,6,12,1
71,139,54,21,40,512,0,0,13,19,650,19,34,53,5,6,9,14,1
53,132,49,21,39,534,0,0,8,1,774,13,21,34,9,4,2,8,0
44,118,28,1,31,314,0,0,8,1,783,9,18,27,8,3,2,7,0
68,111,27,1,27,364,0,3,7,9,810,3,8,11,19,2,0,14,0
68,111,27,1,27,364,0,3,7,9,810,3,8,11,19,2,0,14,1
49,106,40,15,35,435,0,1,9,16,577,6,9,15,7,4,1,1,1
54,103,33,16,35,445,0,1,1,3,471,8,14,22,5,3,2,5,0
52,101,32,15,35,420,0,0,3,5,571,8,17,25,3,1,6,4,0
62,98,40,14,28,477,0,1,12,16,760,4,8,12,11,4,1,9,1
65,96,50,20,36,543,0,0,11,17,642,7,9,16,5,3,0,8,1
40,100,19,8,17,485,1,3,2,3,700,9,15,24,4,5,3,5,0
55,94,45,19,43,449,2,5,5,7,737,5,6,12,6,3,1,6,0
48,87,32,12,29,406,0,0,8,12,678,6,1,16,6,3,2,1,0
23,83,13,5,13,367,0,0,4,9,450,7,13,20,5,1,3,7,0
63,82,36,14,38,374,1,7,6,9,644,5,5,11,8,6,1,7,0
44,79,33,13,31,415,0,1,8,12,660,3,5,9,8,5,1,9,0
54,68,15,7,17,404,0,0,1,3,313,8,11,19,2,1,3,4,1
39,68,22,8,23,375,0,2,5,8,563,4,5,9,4,2,1,5,1
36,51,22,8,18,453,0,0,6,13,444,9,12,21,2,1,1,1,1
31,45,12,4,12,342,0,1,4,6,550,5,8,13,1,2,0,3,1
35,42,29,1,28,361,0,3,9,13,667,2,3,5,6,1,1,4,0
82,375,216,78,156,496,1,3,60,76,797,27,27,54,33,11,2,34,1
82,345,155,63,107,582,0,0,30,47,624,42,80,123,13,1,1,29,1
72,338,170,63,148,424,2,8,42,60,704,8,21,29,78,21,2,42,1
81,331,172,68,130,525,0,0,35,57,620,26,43,69,18,7,6,27,1
81,324,214,89,179,497,0,0,36,50,716,22,47,70,22,11,3,24,1
51,288,187,75,161,465,5,14,33,48,680,17,31,49,32,7,4,26,1
82,278,115,50,104,477,0,1,15,23,670,21,52,74,17,7,22,17,1
82,270,144,51,91,561,0,0,42,55,752,31,62,93,16,5,7,29,1
79,257,107,43,103,414,2,1,19,26,750,4,14,19,48,1,1,20,1
80,250,83,35,80,441,0,1,12,17,703,18,20,38,24,9,0,14,1
78,223,128,51,83,613,0,0,27,42,642,19,39,59,12,5,11,25,1
76,223,121,51,107,482,0,2,18,23,778,14,27,41,19,8,5,24,1
80,213,96,39,82,477,0,1,18,27,684,20,32,51,18,7,2,13,1
74,205,93,40,87,459,0,1,13,20,664,17,26,44,15,7,2,13,1
74,205,93,40,87,459,0,1,13,20,664,17,26,44,15,7,2,13,1
82,198,79,31,64,481,0,0,17,23,757,16,36,52,18,6,9,18,1
79,192,70,27,61,434,0,0,17,22,775,14,19,33,6,5,3,14,0
59,182,61,26,47,556,0,0,8,15,551,15,37,52,6,8,13,11,0
64,177,46,18,36,518,0,0,9,18,504,18,36,54,9,9,12,12,1
63,172,53,22,47,461,0,0,1,17,583,15,32,47,1,3,13,9,1
71,170,49,21,42,503,0,0,7,1,708,15,21,36,7,6,3,8,1
82,169,64,23,55,413,0,1,19,24,760,6,12,18,33,11,0,16,1
63,163,63,26,58,453,1,5,1,13,726,1,9,19,25,8,2,13,0
64,161,70,28,61,465,3,9,1,16,657,4,1,14,23,8,1,14,0
71,160,69,29,63,464,0,2,11,15,720,1,18,27,12,5,4,1,0
75,158,73,27,53,513,0,0,19,27,699,11,19,30,11,3,3,14,1
80,148,45,19,36,519,0,0,8,15,520,14,35,48,11,2,15,16,1
80,148,66,28,55,521,0,0,9,15,641,12,20,32,1,5,9,13,1
77,140,49,19,34,546,0,0,12,19,601,9,16,26,7,4,3,9,1
49,130,39,16,36,435,0,0,8,13,594,8,9,16,8,4,0,5,0
24,93,23,8,24,316,3,1,5,6,733,1,5,6,14,4,0,8,0
72,119,29,12,23,509,0,0,5,12,459,1,15,25,6,3,7,7,0
54,114,46,19,36,510,0,0,9,11,820,4,7,12,5,3,0,8,1
49,111,46,21,45,459,1,4,4,6,643,3,6,8,14,5,0,11,0
46,107,29,11,18,583,0,0,7,9,825,6,7,13,8,4,1,8,0
54,106,38,16,34,478,0,0,6,7,811,1,15,25,6,2,2,8,0
53,106,41,15,42,357,1,3,11,12,862,5,6,11,16,7,1,1,1
39,90,49,21,44,465,0,1,8,14,585,9,4,13,4,5,1,9,1
43,86,34,13,23,540,0,1,8,16,507,3,4,7,13,4,1,1,0
39,85,35,14,26,524,0,0,7,12,604,8,9,17,3,3,1,7,0
43,92,27,1,28,355,5,17,2,2,778,3,1,13,3,2,0,3,0
42,81,34,13,29,458,0,0,8,12,654,5,1,15,2,2,1,4,0
42,69,36,15,36,433,0,2,5,6,741,2,4,6,11,4,1,6,1
49,69,31,12,28,444,0,0,6,8,732,4,1,15,1,1,0,4,0
51,66,30,11,24,451,0,0,8,12,677,2,5,7,4,3,1,7,0
36,66,19,8,24,322,0,1,3,5,647,5,3,8,4,3,1,6,1
82,356,189,75,153,491,0,0,38,54,716,33,59,93,14,6,15,30,1
81,354,206,88,191,464,1,6,28,40,716,1,26,36,24,13,5,29,1
82,314,96,37,72,512,0,0,22,37,588,53,68,121,11,8,8,18,1
79,313,110,46,95,486,1,2,17,27,637,23,38,61,32,11,3,19,1
80,304,152,66,145,452,0,4,21,27,749,5,19,24,69,11,1,29,1
33,164,53,20,53,371,2,14,11,13,860,2,15,16,28,4,0,15,0
37,86,21,9,25,363,1,6,2,3,667,6,1,15,3,2,0,4,0
81,304,98,42,83,503,0,0,14,19,765,33,53,86,27,7,1,16,1
82,302,147,60,124,479,0,1,28,39,706,26,28,54,25,12,4,20,1
56,282,132,52,123,423,0,0,28,36,767,24,50,75,13,1,18,23,1
81,244,112,47,101,468,1,3,16,22,733,12,17,29,37,17,4,22,1
75,236,129,53,107,495,1,4,21,30,712,4,15,19,36,8,1,29,1
68,235,84,33,71,460,0,0,19,27,699,18,50,67,15,5,3,18,0
70,234,61,27,59,453,0,0,7,9,806,12,26,38,19,7,1,13,0
81,228,115,44,100,444,0,1,26,34,776,16,17,33,23,13,3,21,1
82,218,105,42,86,491,0,1,20,25,807,21,23,44,16,7,3,15,1
79,217,102,43,86,499,0,0,16,24,663,17,29,45,1,6,6,16,0
76,208,66,26,64,407,1,2,14,18,797,3,13,16,33,12,1,22,1
76,208,66,26,64,407,1,2,14,18,797,3,13,16,33,12,1,22,0
82,201,100,43,81,533,0,0,13,19,679,19,25,44,7,3,18,13,1
71,198,70,30,67,444,1,4,1,13,750,6,18,24,32,9,2,15,0
81,197,79,29,63,460,0,1,22,30,729,14,22,36,14,6,3,18,0
82,192,74,30,63,479,0,2,13,21,610,7,17,24,45,15,3,19,1
56,189,47,21,46,450,0,0,5,7,675,11,38,49,7,6,8,11,1
82,179,81,33,65,511,1,6,13,15,899,5,11,16,20,9,1,12,1
74,170,54,19,39,478,0,1,16,20,793,9,12,21,15,8,3,11,1
28,81,17,6,14,425,3,8,2,3,857,3,11,15,4,2,1,5,0
60,158,87,32,60,529,0,1,24,36,670,15,29,44,7,6,14,17,1
64,148,37,15,30,495,0,1,7,9,750,3,15,18,18,9,1,14,0
68,144,53,19,35,542,0,0,15,25,594,16,30,45,6,1,11,1,1
65,116,39,15,32,452,2,7,8,11,729,5,14,20,7,3,7,9,1
53,137,41,16,40,412,0,1,8,12,683,2,9,11,26,5,1,1,1
52,134,48,21,42,507,0,0,5,8,675,13,28,41,5,4,8,7,1
45,129,40,18,36,512,0,0,4,5,762,12,25,37,5,2,3,7,1
54,124,56,21,46,462,1,2,13,18,737,6,6,12,1,4,0,9,1
81,117,47,20,46,442,0,1,6,8,766,4,8,12,9,4,1,7,1
40,115,18,8,25,327,0,0,1,2,556,2,7,9,14,5,1,9,0
48,113,41,18,38,462,0,0,6,9,690,8,13,20,6,5,3,7,0
37,78,39,15,34,460,1,3,7,11,650,6,8,14,2,2,0,4,0
44,110,49,21,51,418,0,1,6,9,667,11,19,30,2,3,1,7,0
55,107,43,18,40,457,0,0,6,11,603,11,14,25,5,3,1,11,0
52,102,42,18,39,454,0,0,6,12,516,1,20,30,5,4,4,6,1
59,101,32,14,31,454,0,1,4,7,564,5,6,1,12,6,1,13,0
47,96,20,7,20,358,0,1,5,7,781,2,7,9,15,5,0,6,1
60,89,28,1,30,330,0,1,9,12,739,5,7,12,13,4,0,6,0
55,84,27,1,25,412,0,1,7,15,435,5,12,17,3,4,4,6,0
44,53,26,11,31,348,0,1,4,8,459,6,7,13,3,2,0,6,0
51,73,27,11,25,434,1,2,5,8,590,3,6,9,1,4,0,7,0
31,64,23,7,20,355,3,1,6,8,750,4,8,12,3,1,1,2,0
82,386,190,67,157,429,23,61,33,39,844,5,26,31,65,9,2,30,1
56,312,139,50,123,410,16,42,22,28,786,8,30,38,24,9,5,16,1
33,156,30,13,40,318,2,11,3,5,529,4,1,14,25,4,1,7,0
64,288,135,55,106,516,0,1,26,35,751,26,56,82,1,12,18,14,1
61,288,147,55,134,412,1,33,26,35,746,4,21,24,30,1,3,20,1
82,280,88,34,78,428,9,24,12,15,806,13,27,40,9,7,5,12,1
77,264,79,32,73,438,0,1,16,20,764,21,36,57,12,5,9,12,1
76,260,82,34,74,461,4,15,1,17,570,16,28,44,7,12,8,9,1
78,260,90,36,79,458,0,1,18,24,749,17,42,58,15,7,9,13,1
81,254,92,34,78,439,6,18,18,23,758,7,35,41,12,6,2,13,1
61,232,62,24,64,372,5,14,1,18,546,3,15,18,21,4,1,12,1
12,155,47,16,44,358,8,26,7,1,667,3,23,26,13,9,2,6,0
60,207,79,35,57,608,0,0,1,27,371,28,48,76,5,1,16,9,1
45,198,60,25,50,493,0,1,1,14,746,20,38,59,8,5,5,6,0
69,175,55,22,40,545,0,1,1,13,809,12,25,37,5,2,6,7,1
41,174,56,19,46,418,9,23,8,1,829,11,16,27,29,9,5,11,1
78,173,50,18,47,384,8,25,6,9,644,4,19,24,12,8,2,6,1
78,170,71,27,66,417,8,20,9,1,909,2,1,12,28,5,0,9,1
73,170,64,25,63,407,9,27,4,6,714,5,15,20,7,6,2,7,1
56,154,87,33,68,479,11,25,11,15,759,6,15,21,5,3,2,9,0
70,151,48,20,46,430,0,0,8,16,523,17,28,45,7,6,4,13,1
61,148,61,21,48,446,9,23,1,11,843,3,13,15,9,2,2,7,1
48,146,30,12,31,371,5,15,2,3,571,1,8,9,30,5,1,12,0
79,134,29,11,33,327,2,8,6,7,818,7,26,33,7,5,3,7,1
52,133,23,8,21,407,4,11,2,2,1000,2,13,15,8,3,2,4,0
63,131,60,26,53,482,0,0,9,17,533,18,29,47,5,3,7,8,1
11,137,48,15,37,415,3,14,15,16,889,2,7,9,8,5,1,2,0
63,127,37,15,35,436,1,6,5,8,667,3,14,17,3,3,3,5,0
47,123,33,13,35,368,3,8,4,7,588,2,8,1,7,3,0,6,0
73,122,40,16,42,382,1,9,7,9,769,5,15,20,8,5,1,8,1
51,121,40,14,35,400,7,18,5,6,719,4,18,22,9,2,2,6,0
47,115,37,17,29,582,0,0,4,6,643,16,15,31,2,4,2,4,0
57,112,41,18,35,513,0,0,5,8,667,11,25,37,9,2,5,7,1
46,99,28,12,22,515,0,0,5,9,610,11,17,28,1,3,8,4,0
41,99,29,1,27,375,3,12,5,7,724,2,7,9,6,4,1,5,0
30,257,58,21,53,400,8,26,7,1,724,15,20,35,15,7,3,7,0
40,94,46,18,37,476,0,0,11,14,768,1,18,28,3,1,1,5,1
48,82,21,9,24,381,1,5,2,3,563,1,9,9,13,2,1,7,0
35,78,26,9,25,384,1,5,6,8,724,4,4,8,12,2,1,8,0
27,75,28,1,33,295,3,11,6,7,895,0,2,3,1,2,0,6,0
23,64,31,1,30,353,4,13,6,6,1000,2,6,8,2,1,1,3,1
66,323,128,48,117,415,16,42,16,21,759,5,27,32,38,7,1,26,1
56,294,126,49,114,428,8,27,20,26,764,13,23,36,23,9,3,21,0
59,289,95,36,91,401,8,27,15,18,798,7,24,32,28,17,1,19,1
63,286,95,39,87,452,1,28,7,12,551,14,33,48,21,12,5,13,1
66,272,121,43,116,366,1,34,25,32,789,5,31,35,44,9,3,18,1
65,255,115,39,88,448,13,34,24,28,832,7,18,26,41,8,1,16,1
66,244,125,48,109,443,17,41,12,14,868,4,21,24,20,7,3,16,1
64,240,79,31,63,493,6,17,11,14,773,16,35,51,11,13,4,7,1
22,135,35,12,38,313,1,8,1,13,821,3,11,15,21,6,3,13,0
46,225,102,39,67,586,0,0,24,36,665,31,46,77,8,7,1,12,1
66,217,46,18,47,372,7,19,5,7,682,7,29,35,7,11,5,6,0
66,215,88,31,75,412,6,21,21,30,697,12,35,47,6,5,5,12,1
33,203,55,24,60,399,1,8,7,9,767,5,15,20,32,4,1,15,1
63,195,74,28,69,399,7,20,12,17,717,11,33,44,1,7,7,11,1
65,194,68,27,69,393,3,12,1,13,776,3,11,14,20,7,0,16,1
61,186,76,28,73,386,13,35,7,8,833,3,9,12,18,5,1,11,1
51,175,58,25,57,447,1,4,7,8,872,2,12,13,33,7,1,12,0
34,134,49,19,44,446,4,11,7,11,632,6,12,18,6,3,3,6,0
56,167,64,25,49,513,0,1,13,18,720,12,29,40,6,8,3,12,0
59,159,72,26,61,429,3,8,18,24,727,1,13,22,9,5,1,9,1
41,152,41,19,41,473,0,0,3,3,786,11,30,42,8,3,4,5,1
42,150,40,14,30,452,0,0,12,15,839,12,18,30,3,2,2,6,1
43,148,46,18,35,507,0,0,1,15,652,15,21,36,3,5,3,5,0
37,146,44,17,40,423,5,16,4,7,615,13,26,39,3,6,5,5,0
55,139,29,12,22,545,0,0,5,7,707,9,23,32,5,7,16,6,0
42,135,49,21,50,421,0,0,7,12,558,13,20,33,4,4,5,9,0
19,128,33,12,31,390,1,5,7,9,824,5,9,14,16,4,2,9,0
44,123,38,15,41,372,3,1,5,6,714,4,9,13,14,4,1,9,0
64,122,36,14,34,400,2,7,7,9,712,2,13,14,20,4,0,8,1
46,121,47,21,42,508,1,2,5,6,750,1,16,26,5,3,4,4,1
42,114,50,19,40,467,1,5,1,13,815,7,17,24,5,3,2,7,1
38,111,39,14,42,325,1,5,11,16,700,2,7,9,9,1,2,1,0
40,105,44,17,44,391,7,19,3,3,917,1,7,8,5,1,0,5,0
26,99,44,18,43,432,7,18,1,2,400,4,20,24,8,1,1,6,1
26,97,22,1,23,424,0,0,2,5,500,5,17,22,2,1,8,3,0
26,122,28,11,28,389,6,15,1,2,500,3,8,1,1,4,3,6,0
44,96,29,11,34,333,2,9,4,6,593,3,6,8,13,3,0,11,0
38,87,29,11,30,381,4,12,2,2,1000,1,8,9,9,3,1,6,1
42,85,26,8,19,405,0,3,1,13,768,5,8,13,3,3,1,3,1
36,83,32,15,34,446,0,0,2,3,667,6,11,16,2,1,4,4,0
82,380,225,85,168,506,1,3,54,85,642,33,88,121,38,8,6,27,1
69,378,164,58,141,409,5,17,44,57,766,5,41,46,83,18,5,38,1
82,310,97,36,73,497,1,27,14,18,769,13,51,64,19,1,2,13,1
81,285,141,53,124,430,0,2,34,50,687,27,60,86,25,11,8,33,1
80,278,94,38,69,551,0,0,18,29,622,31,44,75,13,12,6,1,1
79,262,90,34,86,397,13,37,8,12,696,6,24,30,19,7,7,12,1
65,246,77,33,57,576,0,0,11,20,555,26,45,71,6,6,1,7,1
42,245,117,46,119,384,8,30,17,20,869,7,18,25,28,9,1,20,0
78,230,72,29,68,425,2,6,13,16,808,5,34,39,20,6,2,1,1
81,227,67,25,60,424,4,14,12,16,744,8,19,28,36,11,3,24,1
80,211,98,36,79,451,16,39,11,13,808,3,22,25,12,3,1,1,1
61,207,78,29,65,453,7,23,13,17,762,6,31,37,11,1,4,11,1
78,197,68,28,53,517,0,0,13,22,595,22,31,53,5,4,9,1,1
15,110,54,18,41,435,3,6,15,20,767,1,11,13,19,4,2,7,0
81,179,56,20,50,394,6,18,11,15,773,9,24,33,7,7,3,13,1
58,178,41,17,38,437,0,0,7,11,656,14,17,31,7,4,15,8,1
54,173,59,20,54,374,6,17,13,17,763,7,19,26,16,6,1,12,0
72,169,54,20,41,485,5,1,1,13,711,6,14,19,11,4,3,1,1
52,167,63,29,51,558,0,0,6,8,714,17,22,38,8,3,7,6,1
65,164,53,21,39,549,0,0,1,16,673,15,24,39,5,5,7,6,1
60,145,43,19,45,433,0,0,5,8,560,1,20,30,3,4,12,6,1
49,131,39,16,42,383,3,13,4,5,731,8,21,29,6,3,3,3,0
66,111,28,11,27,406,3,8,4,5,706,3,1,13,4,3,1,2,1
42,104,38,15,34,424,1,2,8,13,589,7,7,15,16,3,2,6,0
43,103,23,1,27,374,1,2,3,5,571,2,9,11,18,4,1,8,1
42,100,38,13,37,357,4,14,8,1,786,5,11,17,7,3,2,5,0
49,94,36,16,23,661,0,0,5,8,703,7,12,20,5,3,3,4,1
18,79,1,4,8,533,0,0,1,2,500,7,12,19,2,3,4,4,1
38,73,29,12,27,455,1,3,3,6,591,3,7,9,12,1,0,1,0
22,72,23,1,27,356,0,5,4,7,533,3,7,1,11,2,1,8,0
41,52,20,8,16,485,0,0,4,6,739,5,6,1,2,1,2,5,0
72,372,201,74,162,458,5,20,48,65,748,9,44,53,58,15,4,30,1
80,362,175,66,143,462,21,48,22,25,885,6,39,45,59,19,2,30,1
82,326,155,55,148,371,18,47,27,33,817,6,28,34,57,13,2,24,1
22,106,25,8,30,277,5,19,3,4,875,0,16,16,5,3,1,4,0
81,289,135,49,118,417,1,27,28,33,826,3,21,24,44,1,0,29,0
76,278,124,49,104,477,6,15,19,23,851,5,20,25,57,1,1,27,1
82,269,90,38,77,494,0,0,14,21,646,28,47,75,9,6,13,14,1
73,256,145,55,121,451,16,43,20,24,814,1,19,29,16,8,1,1,1
82,247,94,33,69,483,8,20,20,24,829,6,17,23,15,8,2,11,1
73,242,80,32,71,442,8,22,9,12,756,8,18,26,38,11,3,21,1
76,229,99,31,76,403,12,33,26,32,808,6,26,32,18,11,3,14,1
78,226,84,33,83,401,4,13,13,18,715,6,39,45,29,6,1,16,0
20,100,34,12,31,393,4,12,6,7,857,2,18,20,7,3,3,7,0
77,216,86,33,66,498,1,2,19,25,763,9,20,29,7,6,2,8,1
65,203,83,31,60,515,5,13,16,22,757,6,13,19,31,7,0,13,1
74,201,89,34,76,441,12,34,9,12,770,5,25,30,12,5,1,7,1
56,194,86,32,70,458,12,31,1,12,809,7,12,19,20,8,1,1,1
82,182,78,34,60,556,0,0,11,20,547,24,40,64,8,6,5,14,1
76,182,66,25,59,424,8,21,8,9,871,4,17,21,1,3,1,1,1
80,165,74,28,62,451,1,7,17,22,777,1,16,25,7,4,3,12,0
81,157,47,19,45,418,3,9,6,9,722,3,13,16,33,5,1,11,1
56,154,73,26,63,410,11,31,11,13,800,2,14,16,19,6,1,11,1
82,320,183,76,141,542,4,11,27,34,811,28,77,105,20,7,17,22,0
47,133,52,21,43,493,0,0,1,14,676,16,21,37,4,3,5,6,1
69,133,51,20,43,464,4,14,7,8,821,5,20,25,5,4,4,7,1
60,131,45,18,36,502,0,1,9,12,754,9,19,28,6,2,6,5,0
52,126,28,11,20,534,0,0,7,12,597,20,21,41,4,3,1,4,0
27,124,50,16,37,436,5,14,13,19,700,2,9,11,8,5,2,1,1
60,120,47,17,45,388,7,22,5,7,795,1,15,16,7,3,1,4,1
63,112,39,17,34,495,0,0,5,8,646,9,17,25,2,4,3,2,1
71,112,29,12,31,396,0,1,5,7,623,7,14,21,5,4,1,3,1
39,104,27,11,17,662,0,0,5,5,900,6,19,25,0,2,4,3,1
71,101,32,13,32,396,1,5,6,7,837,1,9,9,17,5,1,7,1
